Phase_1,Phase_2,Phase_3,B-cell,Rituximab,Cyclophosphamide,Mycophenolate,Mofetil,Gemcitabine,Bortezomib,R-CHOP,R-DHAP,JCAR017,inhibitor,MK2206,acid,text_lsa_title_0,text_lsa_loc_0,text_lsa_title_1,text_lsa_loc_1,text_lsa_title_2,text_lsa_loc_2,text_lsa_title_3,text_lsa_loc_3,text_lsa_title_4,text_lsa_loc_4,text_lsa_title_5,text_lsa_loc_5,text_lsa_title_6,text_lsa_loc_6,text_lsa_title_7,text_lsa_loc_7,text_lsa_title_8,text_lsa_loc_8,text_lsa_title_9,text_lsa_loc_9,KMeans_24_clust
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2576753729631878,0.5538184257953955,-0.002017242163202973,-4.8402848983592366e-05,0.03865111505909611,-0.011657559414031491,-0.12167645307769388,0.036321614307811494,0.05571452180486936,-0.07559620295739244,-0.02700529057315288,-0.0571911995304257,0.07055379703927181,0.02598519629293568,-0.029628294450803155,0.1422890489825292,-0.16403707099864934,-0.04816414280865236,0.0741567863964555,-0.015236496208963769,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07094332592983621,0.06050428836127731,-0.025188838809693987,2.7538747073024664e-06,-0.01191864624284218,0.5580057522829263,-0.0064925486662827684,-0.49321860623241226,0.0007437625900317026,0.2305300760836179,-0.00519903118005294,-0.24687218990927307,-0.0022501666673285852,-0.019222440741229346,-0.0029168845203066986,0.008771375074932511,-0.01768809757754056,-0.021139260759126605,0.019322050941577677,-0.10640242351878285,20
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.18055472560796332,0.6248269874315131,-0.039516341761517325,-5.7680744171466606e-05,-0.047837023609763586,-0.03377432090233819,-0.0646075714412799,0.0183397799794072,-0.015108292987947516,-0.07318622084229214,0.010598055963278346,-0.021132534515232344,0.013093405769144377,0.05357709683702312,-0.02174417256875484,0.07728997594121567,-0.08635881479141677,-0.13548705286690374,-0.011304798428866666,0.03826297574154924,19
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.14359889185407015,0.26450395660394854,-0.1407596894401272,-2.203953510452761e-05,-0.01992261631132658,0.08819627720342406,0.0018287256028397853,-0.11724282059445029,0.07530995169321462,-0.12529959393632328,-0.09137846042946145,-0.16424943318655394,0.019918862261926636,-0.16262964108666955,0.12378524439175782,-0.176007266454336,0.07131660247199813,0.14685969277860805,-0.06933864989910019,0.13788835039917305,16
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.31240192133609196,0.3929275192898227,0.07877770737219553,-3.555352830502026e-05,0.06715881007599754,-0.07503568207519752,-0.08617165073580262,-0.005438989259743089,-0.09580297839062323,0.2614072263162278,0.07713577446378378,0.16317917220310119,0.05146175891087141,0.003790181136685953,-0.22014235921985453,-0.0861744304457321,0.12615401406699855,0.0067205083624865625,0.10211479506857607,0.041852048722003765,5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1532433990698396,0.1346725849998122,-0.1234350119469489,1.4187300527128173e-05,-0.11622742762109417,0.349111889742029,0.09710605617541113,0.4830042743389226,0.19702610881265967,-0.02079205595700893,0.1237742828471124,-0.09075612960410731,-0.031687085366903026,-0.024622918345222122,-0.041886003481870285,-0.3077733874312603,0.025485762209608066,-0.13694697345496273,0.10626814008963034,-0.20949653921041517,3
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2411892715017221,0.03777503198346728,0.000134505123306018,3.560195461821165e-05,0.042676227266486906,0.23667261342861137,-0.08164151840686237,-0.12701949889209158,0.05061802862704178,-0.24512514633305607,-0.055375056619801855,0.679017722184818,0.07819005869980007,-0.38436080104056086,-0.07712351256156544,0.025597051757752606,0.023005169104436157,-0.005820997922313501,0.015308194938003906,-0.1762744595091766,21
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47582765249115444,0.03406819466506142,-0.14374077616825787,2.4072593700587274e-07,0.3321824760561124,0.31065098183502676,0.4724493484322018,-0.2808426581322465,-0.13559453928895632,0.1315762331725131,-0.13298700275224878,-0.14246212486333049,-0.23825339037922666,-0.013495006453818195,0.06324653289582087,0.004370376093726488,0.0371337025268615,-0.010116826299972877,-0.25523554861025394,-0.07770267415819902,20
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18792546795677167,0.18398192559231893,0.02960365669965203,7.143749143816392e-06,0.0074980957087733965,0.2268862358731466,0.11009091044172087,0.2716452542385185,0.03159175913093967,0.007918515777029081,-0.11207302771203993,-0.004040214564380781,0.18975176542258657,0.08970493159502936,-0.056527192750114794,0.41311008683347583,0.20227753739992768,0.618863473643121,0.050388238883053736,0.011935240485170953,22
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19042625498385993,0.0928060358250623,-0.010048668666132436,1.363127528683629e-05,-0.07738573371163797,0.20417044014417227,0.258077303665418,0.2553599173591029,0.18408258790191317,-0.016134376289481386,-0.015344276955337886,-0.029329801689062573,0.05006155833838434,0.012640907588890443,0.016552459153062343,-0.04640485946161638,0.04336370916631125,-0.011845303052351134,0.046376943987791255,0.02868793826048401,4
